 ,Optic,Base,15Cycle,20Cycle,25Cycle,30Cycle,35Cycle,40Cycle,Final
chamber01,FAM,0,00,000,0,00,000,0,00
chamber01,ROX,0,00,000,0,00,000,0,00
chamber01,HEX,0,00,000,0,00,000,0,00
chamber01,CYS,0,00,000,0,00,000,0,00
chamber02,FAM,0,00,000,0,00,000,0,00
chamber02,ROX,0,00,000,0,00,000,0,00
chamber02,HEX,0,00,000,0,00,000,0,00
chamber02,CYS,0,00,000,0,00,000,0,00
chamber03,FAM,0,00,000,0,00,000,0,00
chamber03,ROX,0,00,000,0,00,000,0,00
chamber03,HEX,0,00,000,0,00,000,0,00
chamber03,CYS,0,00,000,0,00,000,0,00
chamber04,FAM,0,00,000,0,00,000,0,00
chamber04,ROX,0,00,000,0,00,000,0,00
chamber04,HEX,0,00,000,0,00,000,0,00
chamber04,CYS,0,00,000,0,00,000,0,00
