 ,Optic,Base,15Cycle,20Cycle,25Cycle,30Cycle,35Cycle,40Cycle,Final
chamber01,FAM,49,49,48,49,49,49,49,49
chamber01,ROX,49,50,49,50,47,50,50,48
chamber01,HEX,12,13,12,11,12,11,10,13
chamber01,CYS,15,14,14,13,14,14,13,14
chamber01,FAM,49,49,48,49,49,49,49,49
chamber02,FAM,53,52,52,52,52,52,52,53
chamber02,ROX,46,47,42,47,47,48,48,47
chamber02,HEX,15,16,14,15,16,15,16,14
chamber02,CYS,15,15,15,15,15,15,15,14
chamber03,FAM,60,59,59,59,59,59,59,59
chamber03,ROX,45,45,46,45,45,46,46,46
chamber03,HEX,14,14,15,14,14,15,15,15
chamber03,CYS,15,15,15,15,15,15,15,15
chamber04,FAM,363,347,349,345,347,346,345,345
chamber04,ROX,110,93,96,94,96,95,93,95
chamber04,HEX,20,19,20,19,20,20,20,21
chamber04,CYS,17,16,16,16,16,16,15,16
