 ,Optic,Base,15Cycle,20Cycle,25Cycle,30Cycle,35Cycle,40Cycle,Final
chamber01,FAM,146,150,0,0,0,0,0,0
chamber01,ROX,95,97,0,0,0,0,0,0
chamber01,HEX,34,34,0,0,0,0,0,0
chamber01,CYS,2337,2335,0,0,0,0,0,0
chamber02,FAM,102,105,0,0,0,0,0,0
chamber02,ROX,69,71,0,0,0,0,0,0
chamber02,HEX,28,27,0,0,0,0,0,0
chamber02,CYS,2192,2260,0,0,0,0,0,0
chamber03,FAM,96,100,0,0,0,0,0,0
chamber03,ROX,50,50,0,0,0,0,0,0
chamber03,HEX,25,25,0,0,0,0,0,0
chamber03,CYS,923,920,0,0,0,0,0,0
chamber04,FAM,151,159,0,0,0,0,0,0
chamber04,ROX,66,68,0,0,0,0,0,0
chamber04,HEX,33,32,0,0,0,0,0,0
chamber04,CYS,1904,1904,0,0,0,0,0,0
